,period_direc,period_he,return,pnl,drawdown (%),drawdown (abs)
191,11,27,2721.5975,544319.5,31.828894784182825,27955.000000000036
192,11,28,2721.5975,544319.5,31.828894784182825,27955.000000000036
193,11,29,2721.5975,544319.5,31.828894784182825,27955.000000000036
194,11,30,2721.5975,544319.5,31.828894784182825,27955.000000000036
195,11,31,2721.5975,544319.5,31.828894784182825,27955.000000000036
196,11,32,2721.5975,544319.5,31.828894784182825,27955.000000000036
197,11,33,2721.5975,544319.5,31.828894784182825,27955.000000000036
198,11,34,2726.3475,545269.5,31.48475599454883,27955.00000000006
199,11,35,2726.3475,545269.5,31.48475599454883,27955.00000000006
200,11,36,2726.3475,545269.5,31.48475599454883,27955.00000000006
201,11,37,2726.3475,545269.5,31.48475599454883,27955.00000000006
202,11,38,2726.3475,545269.5,31.12630342439434,27954.999999999956
203,11,39,2726.3475,545269.5,31.12630342439434,27954.999999999956
204,12,6,2774.03375,554806.75,30.691786612210826,27954.99999999984
205,12,7,2774.03375,554806.75,30.691786612210826,27954.99999999984
206,12,8,2774.03375,554806.75,30.691786612210826,27954.99999999984
207,12,9,2774.03375,554806.75,30.691786612210826,27954.99999999984
208,12,10,2774.03375,554806.75,30.691786612210826,27954.99999999984
209,12,11,2774.03375,554806.75,30.691786612210826,27954.99999999984
210,12,12,2774.03375,554806.75,30.691786612210826,27954.99999999984
211,12,13,2774.03375,554806.75,30.691786612210826,27954.99999999984
212,12,14,2774.03375,554806.75,30.691786612210826,27954.99999999984
213,12,15,2774.03375,554806.75,30.691786612210826,27954.99999999984
214,12,16,2774.03375,554806.75,30.691786612210826,27954.99999999984
215,12,17,2774.03375,554806.75,30.691786612210826,27954.99999999984
216,12,18,2774.03375,554806.75,30.691786612210826,27954.99999999984
217,12,19,2774.03375,554806.75,30.691786612210826,27954.99999999984
218,12,20,2774.03375,554806.75,30.691786612210826,27954.99999999984
219,12,21,2774.03375,554806.75,30.691786612210826,27954.99999999984
220,12,22,2774.03375,554806.75,30.691786612210826,27954.99999999984
221,12,23,2774.03375,554806.75,30.691786612210826,27954.99999999984
222,12,24,2774.03375,554806.75,30.691786612210826,27954.99999999984
223,12,25,2774.03375,554806.75,30.691786612210826,27954.99999999984
224,12,26,2774.03375,554806.75,30.691786612210826,27954.99999999984
225,12,27,2774.03375,554806.75,30.691786612210826,27954.99999999984
226,12,28,2774.03375,554806.75,30.691786612210826,27954.99999999984
227,12,29,2774.03375,554806.75,30.691786612210826,27954.99999999984
228,12,30,2774.03375,554806.75,30.691786612210826,27954.99999999984
229,12,31,2774.03375,554806.75,30.691786612210826,27954.99999999984
230,12,32,2774.03375,554806.75,30.691786612210826,27954.99999999984
231,12,33,2774.03375,554806.75,30.691786612210826,27954.99999999984
232,12,34,2774.03375,554806.75,30.691786612210826,27954.99999999984
233,12,35,2774.03375,554806.75,30.691786612210826,27954.99999999984
234,12,36,2774.03375,554806.75,30.691786612210826,27954.99999999984
235,12,37,2774.03375,554806.75,30.691786612210826,27954.99999999984
236,12,38,2774.03375,554806.75,30.351064811547584,27955.000000000007
237,12,39,2774.03375,554806.75,30.351064811547584,27955.000000000007
238,13,6,2770.295,554059.0,37.154511736356866,35136.00000000012
239,13,7,2770.295,554059.0,37.154511736356866,35136.00000000012
240,13,8,2770.295,554059.0,37.154511736356866,35136.00000000012
241,13,9,2770.295,554059.0,37.154511736356866,35136.00000000012
242,13,10,2770.295,554059.0,37.154511736356866,35136.00000000012
243,13,11,2770.295,554059.0,37.154511736356866,35136.00000000012
244,13,12,2770.295,554059.0,37.154511736356866,35136.00000000012
245,13,13,2770.295,554059.0,37.154511736356866,35136.00000000012
246,13,14,2770.295,554059.0,37.154511736356866,35136.00000000012
247,13,15,2770.295,554059.0,37.154511736356866,35136.00000000012
248,13,16,2770.295,554059.0,37.154511736356866,35136.00000000012
249,13,17,2770.295,554059.0,37.154511736356866,35136.00000000012
250,13,18,2770.295,554059.0,37.154511736356866,35136.00000000012
251,13,19,2770.295,554059.0,37.154511736356866,35136.00000000012
252,13,20,2770.295,554059.0,37.154511736356866,35136.00000000012
253,13,21,2770.295,554059.0,37.154511736356866,35136.00000000012
254,13,22,2770.295,554059.0,37.154511736356866,35136.00000000012
255,13,23,2770.295,554059.0,37.154511736356866,35136.00000000012
256,13,24,2770.295,554059.0,37.154511736356866,35136.00000000012
257,13,25,2770.295,554059.0,37.154511736356866,35136.00000000012
258,13,26,2770.295,554059.0,37.154511736356866,35136.00000000012
259,13,27,2770.295,554059.0,37.154511736356866,35136.00000000012
260,13,28,2770.295,554059.0,37.154511736356866,35136.00000000012
261,13,29,2770.295,554059.0,37.154511736356866,35136.00000000012
262,13,30,2770.295,554059.0,37.154511736356866,35136.00000000012
263,13,31,2770.295,554059.0,37.154511736356866,35136.00000000012
264,13,32,2770.295,554059.0,37.154511736356866,35136.00000000012
265,13,33,2770.295,554059.0,37.154511736356866,35136.00000000012
266,13,34,2770.295,554059.0,37.154511736356866,35136.00000000012
267,13,35,2770.295,554059.0,37.154511736356866,35136.00000000012
268,13,36,2770.295,554059.0,37.154511736356866,35136.00000000012
269,13,37,2770.295,554059.0,37.154511736356866,35136.00000000012
270,13,38,2770.295,554059.0,37.154511736356866,35136.00000000012
271,13,39,2770.295,554059.0,37.154511736356866,35136.00000000012
272,14,6,2770.65625,554131.25,34.3474355227983,31735.999999999935
273,14,7,2770.65625,554131.25,34.3474355227983,31735.999999999935
274,14,8,2770.65625,554131.25,34.3474355227983,31735.999999999935
275,14,9,2770.65625,554131.25,34.3474355227983,31735.999999999935
276,14,10,2770.65625,554131.25,34.3474355227983,31735.999999999935
277,14,11,2770.65625,554131.25,34.3474355227983,31735.999999999935
278,14,12,2770.65625,554131.25,34.3474355227983,31735.999999999935
279,14,13,2770.65625,554131.25,34.3474355227983,31735.999999999935
280,14,14,2770.65625,554131.25,34.3474355227983,31735.999999999935
281,14,15,2770.65625,554131.25,34.3474355227983,31735.999999999935
