,period_sma5,period_sma25,period_fast,period_slow,period_aosma9,period_aosma12,return,pnl,drawdown (%),drawdown (abs)
193,6,11,9,14,9,9,188.90624999999986,37781.25,62.923195718450884,23631.75000000001
194,6,11,9,14,9,12,158.88624999999985,31777.25,64.11714793307347,24180.500000000015
195,6,11,9,14,12,6,246.7425,49348.5,64.33140944426194,20564.49999999997
196,6,11,9,14,12,9,229.02749999999997,45805.5,61.89781218263871,23008.499999999993
197,6,11,9,14,12,12,200.13249999999996,40026.5,63.10836966640546,23557.25000000002
198,6,11,9,17,6,6,263.45874999999995,52691.75,74.88224686440219,27821.74999999996
199,6,11,9,17,6,9,209.39874999999995,41879.75,76.23588210424595,25244.75000000001
200,6,11,9,17,6,12,199.63500000000002,39927.0,71.31982997918107,24665.250000000036
201,6,11,9,17,9,6,213.31999999999996,42664.0,68.57651511548104,25230.500000000007
202,6,11,9,17,9,9,159.26,31852.0,69.34988779309217,20164.000000000007
203,6,11,9,17,9,12,149.49625000000003,29899.25,68.3819500756098,23401.500000000007
204,6,11,9,17,12,6,294.03375,58806.75,57.12877406836546,18254.499999999978
205,6,11,9,17,12,9,243.22375,48644.75,62.918455708280405,17474.499999999978
206,6,11,9,17,12,12,233.46000000000004,46692.0,58.60082666432148,16658.749999999978
207,6,11,9,20,6,6,292.15875,58431.75,45.311465804407504,20879.749999999967
208,6,11,9,20,6,9,313.47499999999997,62695.0,46.46845483483795,17809.49999999996
209,6,11,9,20,6,12,236.625,47325.0,50.360312936777305,20807.999999999985
210,6,11,9,20,9,6,245.87875000000005,49175.75,43.80978973437579,18043.499999999985
211,6,11,9,20,9,9,259.445,51889.0,54.644491716624756,16953.99999999999
212,6,11,9,20,9,12,182.59499999999997,36519.0,60.034591109541545,16574.499999999978
213,6,11,9,20,12,6,292.11375,58422.75,41.53928783089688,16821.749999999975
214,6,11,9,20,12,9,312.055,62411.0,52.24479149685373,16023.999999999996
215,6,11,9,20,12,12,235.205,47041.0,57.98916141173061,16023.999999999987
216,6,11,12,14,6,6,136.23625000000004,27247.25,65.52761152224548,22224.999999999993
217,6,11,12,14,6,9,52.56250000000004,10512.5,83.07342007434943,22346.750000000015
218,6,11,12,14,6,12,16.181250000000034,3236.25,78.93742978479288,24768.000000000007
219,6,11,12,14,9,6,152.59375000000003,30518.75,71.97912546024402,23654.499999999978
220,6,11,12,14,9,9,65.49500000000002,13099.0,90.70127895188332,23261.250000000007
221,6,11,12,14,9,12,29.11375000000002,5822.75,93.87831446563288,26350.000000000004
222,6,11,12,14,12,6,194.59875,38919.75,64.53914738052849,22023.499999999993
223,6,11,12,14,12,9,107.05,21410.0,78.05623768526698,20104.750000000022
224,6,11,12,14,12,12,70.79375,14158.75,73.25276631434478,19214.75
225,6,11,12,17,6,6,-77.7875,-15557.5,97.41459361712522,24914.999999999985
226,6,11,12,17,6,9,108.59625000000008,21719.25,68.22856615781949,18492.499999999993
227,6,11,12,17,6,12,77.68375000000005,15536.75,70.4058071112736,25994.000000000022
228,6,11,12,17,9,6,-77.28999999999998,-15458.0,96.7441764711937,23496.499999999975
229,6,11,12,17,9,9,181.9575000000001,36391.5,66.28089768442163,17181.49999999997
230,6,11,12,17,9,12,151.04500000000002,30209.0,54.04532204644104,14971.499999999989
