,period_high,period_low,period_rsi,return,pnl,drawdown (%),drawdown (abs)
778,16,14,26,-75.52500000000009,-15105.0,88.76780319378513,22624.250000000022
779,16,14,28,-81.00125000000008,-16200.25,92.75369745918195,22624.250000000022
780,16,16,6,-82.85625000000013,-16571.25,92.93285230863894,33230.0
781,16,16,8,-94.09750000000012,-18819.5,98.89012208657059,21606.75000000003
782,16,16,10,-87.57000000000015,-17514.0,98.92194617682819,21770.00000000001
783,16,16,12,-82.28750000000015,-16457.5,94.93117010816134,24136.249999999996
784,16,16,14,-77.88875000000012,-15577.75,98.4682106570834,22193.749999999978
785,16,16,16,-78.5125000000001,-15702.5,94.46208993148522,20818.50000000002
786,16,16,18,-78.54250000000009,-15708.5,94.61324253937484,20980.250000000004
787,16,16,20,-86.1887500000001,-17237.75,98.3000683008273,22667.750000000015
788,16,16,22,-86.1887500000001,-17237.75,98.3000683008273,22667.750000000015
789,16,16,24,-86.1887500000001,-17237.75,98.3000683008273,22667.750000000015
790,16,16,26,-74.7562500000001,-14951.25,99.11750994698563,22856.25000000001
791,16,16,28,-74.7562500000001,-14951.25,99.11750994698563,22856.25000000001
792,16,18,6,113.69999999999972,22740.0,90.81530168143594,33229.999999999985
793,16,18,8,-88.19250000000014,-17638.5,94.83450123348427,31329.999999999964
794,16,18,10,-82.32000000000015,-16464.0,97.31597674725091,33229.99999999999
795,16,18,12,164.5149999999998,32903.0,92.11429046632347,33229.999999999956
796,16,18,14,-80.88375000000015,-16176.75,94.89985233425473,31329.999999999894
797,16,18,16,-77.75750000000016,-15551.5,98.84291620809668,33229.999999999985
798,16,18,18,-87.06250000000013,-17412.5,88.70085150682013,33230.00000000003
799,16,18,20,-81.43750000000013,-16287.5,95.01615531981822,33230.00000000002
800,16,18,22,-81.43750000000013,-16287.5,95.01615531981822,33230.00000000002
801,16,18,24,-77.07125000000012,-15414.25,92.70146807546124,33230.0
802,16,18,26,-77.07125000000012,-15414.25,92.70146807546124,33230.0
803,16,18,28,-77.07125000000012,-15414.25,92.70146807546124,33230.0
804,16,20,6,169.0187499999999,33803.75,99.51372814254648,42668.74999999994
805,16,20,8,-94.1587500000001,-18831.75,95.5381119603388,38156.24999999996
806,16,20,10,-79.40625000000009,-15881.25,97.60238414610195,43476.24999999991
807,16,20,12,-72.81750000000014,-14563.5,97.20495376880606,44758.74999999997
808,16,20,14,174.21124999999978,34842.25,99.22629678023065,43476.24999999994
809,16,20,16,202.0874999999998,40417.5,99.5061857954082,42668.74999999997
810,16,20,18,206.04999999999984,41210.0,95.79289237980076,44758.75
811,16,20,20,-77.26125000000008,-15452.25,91.22942294588103,38156.25000000002
812,16,20,22,-77.26125000000008,-15452.25,91.22942294588103,38156.25000000002
813,16,20,24,-83.53500000000007,-16707.0,93.71891387377654,38156.250000000015
814,16,20,26,-83.53500000000007,-16707.0,93.71891387377654,38156.250000000015
815,16,20,28,-83.53500000000007,-16707.0,93.71891387377654,38156.250000000015
816,16,22,6,-80.47250000000005,-16094.5,96.6161067712895,34476.24999999994
817,16,22,8,-80.17250000000007,-16034.5,98.60076360984404,34476.249999999985
818,16,22,10,69.1674999999998,13833.5,99.3574770093243,38813.74999999999
819,16,22,12,104.80749999999985,20961.5,98.28443009527433,38813.74999999998
820,16,22,14,-84.41625000000008,-16883.25,92.87939850470185,33013.74999999998
821,16,22,16,-84.76750000000011,-16953.5,93.5511979483983,33013.749999999956
822,16,22,18,198.60124999999985,39720.25,97.92035053047643,37656.24999999998
823,16,22,20,-74.70375000000007,-14940.75,87.91563579021782,32336.24999999995
824,16,22,22,-74.70375000000007,-14940.75,87.91563579021782,32336.24999999995
825,16,22,24,-73.64875000000005,-14729.75,99.69360424219472,36848.749999999985
826,16,22,26,-73.64875000000005,-14729.75,99.69360424219472,36848.749999999985
827,16,22,28,-73.64875000000005,-14729.75,99.69360424219472,36848.749999999985
828,16,24,6,-78.60750000000007,-15721.5,98.9933011769825,32991.249999999956
