,period_sma5,period_sma25,period_he,period_direc,return,pnl,drawdown (%),drawdown (abs)
1474,13,18,6,10,2314.0437500000003,462808.75,40.516910304704155,49584.99999999997
1475,13,18,6,12,2364.13625,472827.25,42.00396570547809,52323.499999999985
1476,13,18,6,14,2308.3575,461671.5,45.59948813298914,56835.99999999997
1477,13,18,6,16,2295.1825,459036.5,48.58099574971844,56835.99999999981
1478,13,18,6,18,2320.2087500000002,464041.75,47.84829574752437,56835.99999999993
1479,13,18,6,20,2275.0037500000003,455000.75,48.88876464174888,56835.999999999985
1480,13,18,8,6,2316.935,463387.0,38.899959205447615,49584.999999999956
1481,13,18,8,8,2342.3687500000005,468473.75,39.13621708228588,49584.99999999988
1482,13,18,8,10,2314.0437500000003,462808.75,40.516910304704155,49584.99999999997
1483,13,18,8,12,2364.13625,472827.25,42.00396570547809,52323.499999999985
1484,13,18,8,14,2308.3575,461671.5,45.59948813298914,56835.99999999997
1485,13,18,8,16,2295.1825,459036.5,48.58099574971844,56835.99999999981
1486,13,18,8,18,2320.2087500000002,464041.75,47.84829574752437,56835.99999999993
1487,13,18,8,20,2275.0037500000003,455000.75,48.88876464174888,56835.999999999985
1488,13,18,10,6,2316.935,463387.0,38.899959205447615,49584.999999999956
1489,13,18,10,8,2342.3687500000005,468473.75,39.13621708228588,49584.99999999988
1490,13,18,10,10,2314.0437500000003,462808.75,40.516910304704155,49584.99999999997
1491,13,18,10,12,2364.13625,472827.25,42.00396570547809,52323.499999999985
1492,13,18,10,14,2308.3575,461671.5,45.59948813298914,56835.99999999997
1493,13,18,10,16,2295.1825,459036.5,48.58099574971844,56835.99999999981
1494,13,18,10,18,2320.2087500000002,464041.75,47.84829574752437,56835.99999999993
1495,13,18,10,20,2275.0037500000003,455000.75,48.88876464174888,56835.999999999985
1496,13,18,12,6,2316.935,463387.0,38.899959205447615,49584.999999999956
1497,13,18,12,8,2342.3687500000005,468473.75,39.13621708228588,49584.99999999988
1498,13,18,12,10,2314.0437500000003,462808.75,40.516910304704155,49584.99999999997
1499,13,18,12,12,2364.13625,472827.25,42.00396570547809,52323.499999999985
1500,13,18,12,14,2308.3575,461671.5,45.59948813298914,56835.99999999997
1501,13,18,12,16,2295.1825,459036.5,48.58099574971844,56835.99999999981
1502,13,18,12,18,2320.2087500000002,464041.75,47.84829574752437,56835.99999999993
1503,13,18,12,20,2275.0037500000003,455000.75,48.88876464174888,56835.999999999985
1504,13,18,14,6,2316.935,463387.0,38.899959205447615,49584.999999999956
1505,13,18,14,8,2342.3687500000005,468473.75,39.13621708228588,49584.99999999988
1506,13,18,14,10,2314.0437500000003,462808.75,40.516910304704155,49584.99999999997
1507,13,18,14,12,2364.13625,472827.25,42.00396570547809,52323.499999999985
1508,13,18,14,14,2308.3575,461671.5,45.59948813298914,56835.99999999997
1509,13,18,14,16,2295.1825,459036.5,48.58099574971844,56835.99999999981
1510,13,18,14,18,2320.2087500000002,464041.75,47.84829574752437,56835.99999999993
1511,13,18,14,20,2275.0037500000003,455000.75,48.88876464174888,56835.999999999985
1512,13,18,16,6,2316.935,463387.0,38.899959205447615,49584.999999999956
1513,13,18,16,8,2342.3687500000005,468473.75,39.13621708228588,49584.99999999988
1514,13,18,16,10,2314.0437500000003,462808.75,40.516910304704155,49584.99999999997
1515,13,18,16,12,2364.13625,472827.25,42.00396570547809,52323.499999999985
1516,13,18,16,14,2308.3575,461671.5,45.59948813298914,56835.99999999997
1517,13,18,16,16,2295.1825,459036.5,48.58099574971844,56835.99999999981
1518,13,18,16,18,2320.2087500000002,464041.75,47.84829574752437,56835.99999999993
1519,13,18,16,20,2275.0037500000003,455000.75,48.88876464174888,56835.999999999985
1520,13,18,18,6,2316.935,463387.0,38.899959205447615,49584.999999999956
1521,13,18,18,8,2342.3687500000005,468473.75,39.13621708228588,49584.99999999988
1522,13,18,18,10,2314.0437500000003,462808.75,40.516910304704155,49584.99999999997
1523,13,18,18,12,2364.13625,472827.25,42.00396570547809,52323.499999999985
1524,13,18,18,14,2308.3575,461671.5,45.59948813298914,56835.99999999997
1525,13,18,18,16,2295.1825,459036.5,48.58099574971844,56835.99999999981
1526,13,18,18,18,2320.2087500000002,464041.75,47.84829574752437,56835.99999999993
1527,13,18,18,20,2275.0037500000003,455000.75,48.88876464174888,56835.999999999985
1528,13,18,20,6,2316.935,463387.0,38.899959205447615,49584.999999999956
