,period_me1,period_me2,period_sig,return,pnl,drawdown (%),drawdown (abs)
279,9,20,3,418.19750000000005,83639.5,43.01726620886199,35471.499999999985
280,9,20,5,483.0575000000001,96611.5,32.748393042544976,28072.24999999995
281,9,20,7,522.7387500000002,104547.75,31.71857398263707,28297.24999999994
282,9,20,9,630.9687500000001,126193.75,25.029264069264105,9034.000000000022
283,9,20,11,640.005,128001.0,24.150398652667548,9033.999999999989
284,9,20,13,686.8887500000002,137377.75,22.156501683313767,8934.0
285,9,20,15,664.75625,132951.25,21.878692519147503,8933.999999999989
286,9,20,17,669.4237499999999,133884.75,20.699172033118664,8493.749999999993
287,9,20,19,623.975,124795.0,24.152848756694496,9854.0
288,9,22,3,397.07250000000005,79414.5,43.69283495769507,35696.499999999905
289,9,22,5,480.36125,96072.25,33.28412763292158,28297.250000000102
290,9,22,7,544.4362500000001,108887.25,31.126749331067256,28297.249999999884
291,9,22,9,625.7887499999999,125157.75,24.721053531725737,9034.000000000025
292,9,22,11,680.25375,136050.75,22.18056779671533,8933.999999999985
293,9,22,13,691.53625,138307.25,21.991790617672923,8934.0
294,9,22,15,675.00625,135001.25,20.800553456963204,8493.749999999996
295,9,22,17,634.1537500000001,126830.75,20.555660995365386,8393.749999999989
296,9,22,19,645.3500000000001,129070.0,22.74117647058825,5799.000000000004
297,9,24,3,439.00500000000005,87801.0,39.53402654395816,34322.75000000009
298,9,24,5,513.4075000000001,102681.5,31.842157825295565,28297.25
299,9,24,7,620.3475000000002,124069.5,25.374479889042988,9147.500000000015
300,9,24,9,636.8887500000002,127377.75,24.055898865059174,8934.000000000011
301,9,24,11,700.5112500000001,140102.25,22.016585137449677,8934.000000000025
302,9,24,13,674.0062499999999,134801.25,20.908078302984062,8493.750000000007
303,9,24,15,632.4037500000001,126480.75,20.800553456963204,8493.749999999996
304,9,24,17,641.29,128258.0,21.756947833377133,8693.75
305,9,24,19,658.5975000000001,131719.5,22.402936063357117,5798.999999999989
306,9,26,3,452.8025000000001,90560.5,39.477187705773545,34322.75000000003
307,9,26,5,546.2700000000002,109254.0,30.847145233963065,27949.750000000102
308,9,26,7,642.5325000000001,128506.5,25.374479889042988,9147.500000000015
309,9,26,9,690.3175000000002,138063.5,22.016585137449677,8934.000000000025
310,9,26,11,695.28625,139057.25,21.351778802070147,8673.999999999989
311,9,26,13,672.80625,134561.25,20.800553456963204,8493.749999999996
312,9,26,15,635.7875,127157.5,21.62933752962175,8693.75
313,9,26,17,660.0975000000002,132019.5,22.402936063357117,5798.999999999989
314,9,26,19,658.7412500000002,131748.25,22.402936063357117,5798.999999999989
315,9,28,3,445.17750000000007,89035.5,39.67110985254558,34322.75000000001
316,9,28,5,559.1987500000002,111839.75,28.305046865870136,26279.75
317,9,28,7,665.65625,133131.25,23.73692967386749,8774.000000000007
318,9,28,9,675.3250000000002,135065.0,21.4887032823848,21109.749999999985
319,9,28,11,675.93,135186.0,20.908078302984062,8493.750000000007
320,9,28,13,636.3225,127264.5,20.882962115227915,8393.750000000004
321,9,28,15,644.6562500000001,128931.25,22.402936063357117,5798.999999999989
322,9,28,17,659.1162500000002,131823.25,22.402936063357117,5798.999999999989
323,9,28,19,647.8037500000002,129560.75,23.596013339782655,9268.75000000003
324,12,6,3,192.54624999999993,38509.25,89.90496583847506,20363.25
325,12,6,5,-70.59500000000003,-14119.0,94.09698939640185,20698.750000000015
