,period_high,period_low,period_me1,period_me2,period_sig,return,pnl,drawdown (%),drawdown (abs)
10128,17,14,9,12,17,-15.019999999999978,-3004.0,91.52054485249847,24322.5
10129,17,14,9,14,5,38.091249999999945,7618.25,64.87291415792185,15084.250000000013
10130,17,14,9,14,7,24.759999999999998,4952.0,78.64373407458882,16975.249999999996
10131,17,14,9,14,9,31.192499999999956,6238.5,66.4099987696346,16192.750000000007
10132,17,14,9,14,11,-85.80374999999997,-17160.75,78.59582913101471,18118.499999999978
10133,17,14,9,14,13,-81.29499999999997,-16259.0,94.5352430184426,24322.49999999996
10134,17,14,9,14,15,-80.98249999999997,-16196.5,94.23307891984037,24322.49999999998
10135,17,14,9,14,17,-24.682499999999997,-4936.5,91.66800146985385,24322.49999999997
10136,17,14,9,16,5,34.04124999999996,6808.25,69.64024600034402,16192.750000000015
10137,17,14,9,16,7,47.74374999999998,9548.75,73.5367457043116,16220.000000000005
10138,17,14,9,16,9,56.386250000000004,11277.25,54.062242056473195,14900.499999999995
10139,17,14,9,16,11,-81.29499999999997,-16259.0,94.5352430184426,24322.49999999996
10140,17,14,9,16,13,-31.769999999999975,-6354.0,91.52054485249847,24322.5
10141,17,14,9,16,15,-83.44624999999998,-16689.25,96.13586091815746,24773.24999999998
10142,17,14,9,16,17,-83.44624999999998,-16689.25,96.13586091815746,24773.24999999998
10143,17,14,9,18,5,31.416249999999962,6283.25,71.21761885912828,16192.750000000022
10144,17,14,9,18,7,53.551249999999975,10710.25,69.70244821092277,16192.749999999982
10145,17,14,9,18,9,-85.80374999999997,-17160.75,78.59582913101471,18118.499999999978
10146,17,14,9,18,11,-15.019999999999978,-3004.0,91.52054485249847,24322.5
10147,17,14,9,18,13,-30.608749999999972,-6121.75,91.66800146985385,24322.49999999997
10148,17,14,9,18,15,-83.44624999999998,-16689.25,96.13586091815746,24773.24999999998
10149,17,14,9,18,17,-83.19625,-16639.25,86.30126050047457,24322.499999999967
10150,17,14,9,20,5,31.01874999999996,6203.75,68.41766134995245,16192.750000000004
10151,17,14,9,20,7,15.092499999999964,3018.5,82.98523910947219,19578.499999999985
10152,17,14,9,20,9,-81.29499999999997,-16259.0,94.5352430184426,24322.49999999996
10153,17,14,9,20,11,-80.98249999999997,-16196.5,94.23307891984037,24322.49999999998
10154,17,14,9,20,13,-83.44624999999998,-16689.25,96.13586091815746,24773.24999999998
10155,17,14,9,20,15,-83.19625,-16639.25,86.30126050047457,24322.499999999967
10156,17,14,9,20,17,-80.27749999999997,-16055.5,99.44417282108027,28983.749999999996
10157,17,14,12,15,5,60.01,12002.0,68.41766134995245,16192.750000000004
10158,17,14,12,15,7,-80.92874999999998,-16185.75,75.03788240031362,17703.499999999978
10159,17,14,12,15,9,-81.29499999999997,-16259.0,94.5352430184426,24322.49999999996
10160,17,14,12,15,11,-81.73249999999996,-16346.5,94.78391333151474,24322.49999999997
10161,17,14,12,15,13,-79.99874999999999,-15999.75,93.5952169560043,24773.250000000004
10162,17,14,12,15,15,-36.100000000000044,-7220.0,93.06779119785111,24773.249999999996
10163,17,14,12,15,17,-83.955,-16791.0,86.69827845503282,24500.499999999996
10164,17,14,12,17,5,62.74374999999996,12548.75,64.74574915782844,16192.750000000018
10165,17,14,12,17,7,-85.80374999999997,-17160.75,78.59582913101471,18118.499999999978
10166,17,14,12,17,9,-15.019999999999978,-3004.0,91.52054485249847,24322.5
10167,17,14,12,17,11,-83.44624999999998,-16689.25,96.13586091815746,24773.24999999998
10168,17,14,12,17,13,-36.100000000000044,-7220.0,93.06779119785111,24773.249999999996
10169,17,14,12,17,15,-83.955,-16791.0,86.69827845503282,24500.499999999996
10170,17,14,12,17,17,-87.08,-17416.0,95.32229979882678,28193.00000000001
10171,17,14,12,19,5,-81.24499999999996,-16249.0,75.36729428321638,17672.499999999985
10172,17,14,12,19,7,-79.55374999999997,-15910.75,74.01551718722187,17672.499999999964
10173,17,14,12,19,9,-31.983749999999983,-6396.75,91.66800146985385,24322.49999999997
10174,17,14,12,19,11,-83.44624999999998,-16689.25,96.13586091815746,24773.24999999998
10175,17,14,12,19,13,-21.97250000000003,-4394.5,96.6277994015719,28983.749999999985
10176,17,14,12,19,15,-84.58,-16916.0,93.66557909150846,27703.00000000001
10177,17,14,12,19,17,-87.08,-17416.0,95.32229979882678,28193.00000000001
10178,17,14,12,21,5,15.203749999999996,3040.75,73.34813646551007,17672.499999999996
10179,17,14,12,21,7,-81.29499999999997,-16259.0,94.5352430184426,24322.49999999996
10180,17,14,12,21,9,-83.44624999999998,-16689.25,96.13586091815746,24773.24999999998
10181,17,14,12,21,11,-83.19625,-16639.25,86.30126050047457,24322.499999999967
10182,17,14,12,21,13,-87.33,-17466.0,98.09477118658394,29013.00000000001
10183,17,14,12,21,15,-87.08,-17416.0,95.32229979882678,28193.00000000001
10184,17,14,12,21,17,-94.10374999999999,-18820.75,94.67152193917276,30093.0
10185,17,14,15,18,5,13.71999999999999,2744.0,73.34813646551007,17672.499999999996
10186,17,14,15,18,7,-80.98249999999997,-16196.5,94.23307891984037,24322.49999999998
10187,17,14,15,18,9,-83.44624999999998,-16689.25,96.13586091815746,24773.24999999998
10188,17,14,15,18,11,-21.97250000000003,-4394.5,96.6277994015719,28983.749999999985
10189,17,14,15,18,13,-87.08,-17416.0,95.32229979882678,28193.00000000001
10190,17,14,15,18,15,-83.26625,-16653.25,99.15566282527575,30092.999999999993
10191,17,14,15,18,17,-94.10374999999999,-18820.75,94.67152193917276,30093.0
10192,17,14,15,20,5,-12.112499999999992,-2422.5,73.34813646551007,17672.499999999996
10193,17,14,15,20,7,-83.82124999999998,-16764.25,98.08406962999497,28834.999999999967
10194,17,14,15,20,9,-83.19625,-16639.25,86.30126050047457,24322.499999999967
10195,17,14,15,20,11,-84.58,-16916.0,93.66557909150846,27703.00000000001
10196,17,14,15,20,13,-87.08,-17416.0,95.32229979882678,28193.00000000001
10197,17,14,15,20,15,-94.10374999999999,-18820.75,94.67152193917276,30093.0
10198,17,14,15,20,17,-84.37249999999999,-16874.5,98.6873828020359,32235.000000000033
10199,17,14,18,21,5,-5.434999999999986,-1087.0,87.48156673740243,24322.499999999996
10200,17,14,18,21,7,-83.19625,-16639.25,86.30126050047457,24322.499999999967
10201,17,14,18,21,9,-84.77749999999999,-16955.5,85.28736032304106,24500.49999999998
10202,17,14,18,21,11,-35.69375000000005,-7138.75,97.63401438895603,30092.999999999978
10203,17,14,18,21,13,-94.41625,-18883.25,94.60992329035417,28983.74999999998
10204,17,14,18,21,15,-91.08500000000004,-18217.0,93.45314024161478,31136.25000000005
10205,17,14,18,21,17,-92.09000000000003,-18418.0,94.14090819218349,32139.00000000001
10206,17,16,3,6,5,-79.63375000000002,-15926.75,98.67637851518069,27974.99999999999
10207,17,16,3,6,7,-76.545,-15309.0,84.92290429998555,23462.500000000007
10208,17,16,3,6,9,109.12749999999988,21825.5,90.09484678596118,23462.499999999985
10209,17,16,3,6,11,109.12749999999988,21825.5,90.09484678596118,23462.499999999985
10210,17,16,3,6,13,97.75249999999987,19550.5,90.09484678596118,23462.499999999985
10211,17,16,3,6,15,77.48749999999988,15497.5,90.55646149541188,23462.50000000001
