,period_sma5,period_sma25,period_he,return,pnl,drawdown (%),drawdown (abs)
115,9,14,12,284.52312499999954,56904.62,71.79812491254265,38482.00000000007
116,9,14,14,321.50937500000003,64301.88,74.14862659330153,50769.75000000003
117,9,14,16,293.59750000000014,58719.5,60.290609260990344,21607.25
118,9,14,18,335.28812500000026,67057.63,35.56101429798864,24212.25000000008
119,9,14,20,208.72500000000022,41745.0,52.14665921188403,28679.74999999996
120,9,16,6,2995.7181250000003,599143.62,27.55603913220781,26453.14999999995
121,9,16,8,612.3837499999998,122476.75,65.16058446960112,36032.5
122,9,16,10,2027.9062499999998,405581.25,36.807484541052176,41650.824999999895
123,9,16,12,264.47312499999964,52894.62,69.46022416680879,39708.49999999995
124,9,16,14,280.61312499999985,56122.62,81.8060093192652,57277.500000000065
125,9,16,16,313.1987499999999,62639.75,59.980568375030415,21607.250000000022
126,9,16,18,297.11812500000013,59423.63,41.46831947654344,27631.99999999995
127,9,16,20,114.13250000000006,22826.5,81.66610665770658,34026.99999999998
128,9,18,6,2948.044136904761,589608.83,35.64530559837294,60320.356250000856
129,9,18,8,560.2374999999996,112047.5,76.96148191984523,40965.250000000044
130,9,18,10,1990.4374999999998,398087.5,35.28702153157515,33346.49999999998
131,9,18,12,234.4206249999996,46884.12,77.35362575183593,43951.749999999935
132,9,18,14,302.93562499999985,60587.12,75.16000360978255,52053.0
133,9,18,16,323.0962499999999,64619.25,59.0454784563149,21607.249999999967
134,9,18,18,359.47812500000015,71895.63,40.53719425914696,28075.250000000015
135,9,18,20,156.59125000000003,31318.25,75.41203515268953,32887.00000000001
136,9,20,6,2955.8955952380948,591179.12,39.496228834774485,67447.51250000067
137,9,20,8,589.4649999999997,117893.0,73.35264203985895,40965.25000000006
138,9,20,10,1946.4950000000001,389299.0,38.493238446487624,33346.50000000008
139,9,20,12,234.6618749999996,46932.37,86.30866347409668,49562.75000000001
140,9,20,14,316.3243749999999,63264.87,73.34934558618777,52679.500000000044
141,9,20,16,323.9174999999999,64783.5,57.66500282629315,30094.500000000025
142,9,20,18,340.33437500000036,68066.88,35.974183487828036,24914.999999999956
143,9,20,20,105.97250000000034,21194.5,68.94399402964827,30486.000000000022
144,11,14,6,2973.8439285714285,594768.79,33.91816859373187,12416.000000000025
145,11,14,8,661.48625,132297.25,97.45354651521701,47359.50000000001
146,11,14,10,2001.5325,400306.5,32.89995518803405,19602.55000000001
147,11,14,12,252.3293749999995,50465.87,74.05715262705473,38983.500000000015
